MATCH,HALF,POSS,TEAM,OPP,SOURCE,START,END,LOST,SOURCE NOTE,LOST NOTE,,,,,,
8,1,6,AUS,POR,Scrum,6,14,TRY,,TRY: converted,,,,,,
8,2,7,POR,AUS,Reclaim,8,10,Tackled to touch,,,,,,,,
8,2,8,AUS,POR,Line out,6,12,Intercept,,,,,,,,
8,2,9,POR,AUS,Intercept,4,4,Intercept,,,,,,,,
8,2,10,AUS,POR,Intercept,12,13,TRY,,,,,,,,
8,2,11,AUS,POR,Reclaim,10,13,TRY,,,,,,,,
8,2,12,POR,AUS,Scrum,4,4,HE,Scrum: knocked on restart,HE: knock on,,,,,,
9,1,1,USA,ENG,Restart,6,7,PEN,,PEN: ball carrier not releasing,,,,,,
9,1,2,ENG,USA,PK,9,13,Line out infraction,PK: ball carrier not releasing,Line out: not straight,,,,,,
9,1,3,USA,ENG,Scrum,3,15,PEN,,PEN: ball carrier not releasing,,,,,,
9,1,4,ENG,USA,PK,1,12,Tackled to touch,PK: ball carrier not releasing,,,,,,,
9,1,5,USA,ENG,Line out,4,14,Poached,,,,,,,,
9,1,6,ENG,USA,Poach,2,14,TRY,,,,,,,,
9,2,7,USA,ENG,Reclaim,11,13,PEN,,PEN: diving over,,,,,,
9,2,8,ENG,USA,PK,3,8,HE,PK: diving over,HE: knock on,,,,,,
9,2,9,USA,ENG,Scrum,8,8,Intercept,,,,,,,,
9,2,10,ENG,USA,Intercept,8,8,PEN,,PEN: ball carrier not releasing,,,,,,
9,2,11,USA,ENG,PK,8,14,TRY,PK: ball carrier not releasing,TRY: converted,,,,,,
9,2,12,ENG,USA,Restart,4,7,Counter ruck,,,,,,,,
9,2,13,USA,ENG,Counter ruck,9,6,HE,,HE: thrown to touch,,,,,,
9,2,14,ENG,USA,Line out,10,10,Line out stolen,,,,,,,,
9,2,15,USA,ENG,Line out stolen,6,12,Poached,,,,,,,,
9,2,16,ENG,USA,Poach,4,14,TRY,,TRY: converted,,,,,,
9,2,17,USA,ENG,FK,8,8,PEN,FK: restart direct to touch,PEN: obstruction,,,,,,
9,2,18,ENG,USA,PK,8,8,Kick to touch,PK: obstruction,,,,,,,
10,1,1,ARG,CAN,Restart,3,13,PEN,,PEN: ball carrier not releasing,,,,,,
10,1,2,CAN,ARG,PK,13,14,TRY,PK: ball carrier not releasing,,,,,,,
10,1,3,ARG,CAN,Restart,6,6,Intercept,,,,,,,,
10,1,4,CAN,ARG,Intercept,10,8,Kick,,,,,,,,
10,1,5,ARG,CAN,Kick,2,2,Tackled in goal,,,,,,,,
10,1,6,CAN,ARG,Scrum,14,14,TRY,,TRY: converted,,,,,,
10,1,7,ARG,CAN,Restart,3,14,TRY,,,,,,,,
10,1,8,CAN,ARG,Restart,5,5,Poached,,,,,,,,
10,1,9,ARG,CAN,Poach,11,11,HE,,HE: knock on,,,,,,
10,1,10,CAN,ARG,Scrum,5,5,Kick to touch,,,,,,,,
10,2,11,CAN,ARG,Restart,6,14,PEN,,PEN: hands in the ruck,,,,,,
10,2,12,ARG,CAN,PK,2,14,TRY,PK: hands in the ruck,TRY: converted,,,,,,
10,2,13,CAN,ARG,Restart,4,9,HE,,HE: knock on,,,,,,
10,2,14,ARG,CAN,Scrum,7,13,Line out stolen,,,,,,,,
10,2,15,CAN,ARG,Line out stolen,3,4,HE,,HE: knock on,,,,,,
10,2,16,ARG,CAN,Scrum,12,15,Intercept,,,,,,,,
10,2,17,CAN,ARG,Intercept,1,1,HE,,HE: forward pass,,,,,,
11,1,1,JPN,NZL,Restart,4,5,Counter ruck,,,,,,,,
11,1,2,NZL,JPN,Counter ruck,11,13,TRY,,TRY: converted,,,,,,
11,1,3,NZL,JPN,Reclaim,10,14,TRY,,TRY: converted,,,,,,
11,1,4,JPN,NZL,Restart,5,8,Poached,,,,,,,,
11,1,5,NZL,JPN,Poach,8,13,TRY,,TRY: converted,,,,,,
11,1,6,JPN,NZL,Restart,6,5,Intercept,,,,,,,,
11,1,7,NZL,JPN,Intercept,11,14,TRY,,TRY: converted,,,,,,
11,1,8,NZL,JPN,Reclaim,11,14,TRY,,TRY: converted,,,,,,
11,2,9,JPN,NZL,Scrum,10,14,PEN,Scrum: knocked on restart,PEN: collapsing the ruck,,,,,,
11,2,10,NZL,JPN,PK,2,9,Line out stolen,PK: collapsing the ruck,,,,,,,
11,2,11,JPN,NZL,Line out stolen,7,11,HE,,HE: knock on,,,,,,
11,2,12,NZL,JPN,Scrum,5,15,TRY,,,,,,,,
11,2,13,JPN,NZL,Restart,4,5,Counter ruck,,,,,,,,
11,2,14,NZL,JPN,Counter ruck,11,14,TRY,,TRY: converted,,,,,,
11,2,15,NZL,JPN,Reclaim,11,13,TRY,,,,,,,,
11,2,16,NZL,JPN,Reclaim,12,14,TRY,,TRY: converted,,,,,,
12,1,1,FRA,SAM,Restart,6,14,TRY,,TRY: converted,,,,,,
12,1,2,SAM,FRA,Restart,6,13,Tackled to touch,,,,,,,,
12,1,3,FRA,SAM,Line out,3,1,Scrum lost,,,,,,,,
12,1,4,SAM,FRA,Scrum stolen,15,15,PEN,,PEN: ball carrier not releasing,,,,,,
12,1,5,FRA,SAM,PK,1,14,PEN,PK: ball carrier not releasing,PEN: double move,,,,,,
12,1,6,SAM,FRA,PK,2,1,Poached,PK: double move,,,,,,,
12,1,7,FRA,SAM,Poach,15,15,HE,,HE: knock on,,,,,,
12,1,8,SAM,FRA,Scrum,1,14,TRY,,TRY: converted,,,,,,
12,1,9,FRA,SAM,Restart,6,6,HE,,HE: ball lost fwd in tackle,,,,,,
12,1,10,SAM,FRA,Scrum,10,14,Poached,,,,,,,,
12,1,11,FRA,SAM,Poach,2,1,HE,,HE: ball lost fwd in tackle,,,,,,
12,2,12,SAM,FRA,Restart,6,5,Intercept,,,,,,,,
12,2,13,FRA,SAM,Intercept,11,15,TRY,,,,,,,,
12,2,14,SAM,FRA,Restart,6,8,PEN,,PEN: ball carrier not releasing,,,,,,
12,2,15,FRA,SAM,PK,8,12,Kick,PK: ball carrier not releasing,,,,,,,
12,2,16,SAM,FRA,Kick,1,11,Intercept,,,,,,,,
12,2,17,FRA,SAM,Intercept,5,6,Tackled to touch,,,,,,,,
12,2,18,SAM,FRA,Line out,10,10,Line out stolen,,,,,,,,
12,2,19,FRA,SAM,Line out stolen,6,5,Counter ruck,,,,,,,,
12,2,20,SAM,FRA,Counter ruck,11,14,TRY,,TRY: converted,,,,,,
12,2,21,SAM,FRA,Scrum,11,11,Intercept,Scrum: knocked on restart,,,,,,,
12,2,22,FRA,SAM,Intercept,5,7,HE,,HE: ball lost fwd in tackle,,,,,,
12,2,23,SAM,FRA,FK,9,14,Intercept,,,,,,,,
12,2,24,FRA,SAM,Intercept,2,2,Intercept,,,,,,,,
12,2,25,SAM,FRA,Intercept,14,13,TRY,,,,,,,,
13,1,1,ASM,RSA,Restart,4,4,HE,,HE: ball lost fwd in tackle,,,,,,
13,1,2,RSA,ASM,Scrum,12,14,Intercept,,,,,,,,
13,1,3,ASM,RSA,Intercept,2,2,Kick,,,,,,,,
13,1,4,RSA,ASM,Kick,7,11,HE,,HE: knock on,,,,,,
13,1,5,ASM,RSA,Scrum,5,5,PEN,,PEN: tripping,,,,,,
13,1,6,RSA,ASM,PK,11,11,HE,PK: tripping,HE: knock on,,,,,,
13,1,7,ASM,RSA,Scrum,5,5,Scrum infraction,,,,,,,,
13,1,8,RSA,ASM,FK,11,14,TRY,FK: scrum infraction,TRY: converted,,,,,,
13,1,9,RSA,ASM,Scrum,12,14,TRY,Scrum: restart knocked to touch,,,,,,,
13,1,10,RSA,ASM,Reclaim,9,15,TRY,,,,,,,,
13,1,11,ASM,RSA,Restart,4,3,HE,,HE: fwd pass,,,,,,
13,2,12,RSA,ASM,Restart,5,14,TRY,,TRY: converted,,,,,,
13,2,13,ASM,RSA,FK,8,8,PEN,FK: restart direct to touch,PEN: ball carrier not releasing,,,,,,
